dest_country,shipper,value_norm_usd
Vietnam,Siti B And T Group S.P.A.,252717.19619
Vietnam,Shanghai Lifen Gas,252617.4613
Indonesia,"Zhejiang Rays Oleo Technology Co., Ltd.",241414.4
Vietnam,Vinata International Co. Ltd,241212.08226666666
Vietnam,Guangdong Xunyuan Construction Investment Co Ltd,240107.0
Philippines,Hubei Daly Lpg Cylinder Manufacture Co Ltd,239851.5
Brazil,Alfa Laval Europe Ab,239705.93
Vietnam,Cong Ty Tnhh Khi Cong Nghiep Messer Binh Phuoc,239462.29806
Indonesia,Topway Xiamen Material Technology Co Ltd,239376.0
Vietnam,Guangdong Soxi Intelligent Equipment Co. Ltd,238362.41
Indonesia,Kuken Industries Co Ltd,238214.44
Kenya,Socar Shipping Agency S A R L,237122.16999999998
Vietnam,Xiamen Liang Chi Industry Co Ltd,232745.2
Indonesia,Spx Cooling Technologies Suzhou Co,232292.81
Canada,Taylor Wharton Malaysia Sdn Bhd,231895.3
Malaysia,Orient Greenland International Trade Co Ltd,230102.06
Vietnam,Huayuan Trading Ltd,230000.0
Nigeria,Jingmen Hongtu Special,228180.166
Philippines,Nohmi Bosai Ltd International Division,227671.3
United Arab Emirates,Cryogas Equipment Pvt. Ltd.,226104.78
Philippines,Sicgil India Ltd.,225150.0
Thailand,Dorado Resources Corporation,225000.0
Ghana,Ltp Solutions Pty Ltd,224662.92600000004
Vietnam,Jade Beauty Trading Investment Co Ltd,221500.0
Brazil,Honda Trading Corporation I Pvt Ltd,220909.22
Vietnam,Mega Alliance Gases Sdn Bhd,220000.0
United Arab Emirates,Inox India Pvt. Ltd.,219261.06
Malaysia,Air Product Malaysia Sdn Bhd,214870.98
Malaysia,Mexicali Directo Al Cliente S De Rl De Cv,213000.0
Nigeria,Lions Makine Muhendislik Limited Sirketi,212548.20500000002
Brazil,"Weihui Weiyou Machinery Manufacturing Co., Ltd.",211066.0
Vietnam,Fortune Bright Co. Ltd.,210576.0
Vietnam,Vi Na Industrial Gases Trading & Service Co. Ltd.,209500.0
Indonesia,Mass Worldwide Logistics Thailand Co Ltd,208019.0
Brazil,Guizhou Yonghong Heat Transfer Cooling Technology Company,207666.47
Vietnam,Hebei Runfeng Low Temperature Equipment Co Ltd,207052.0
United Arab Emirates,Hamilton Sundstrand,206575.0
Indonesia,Nihon Spindle Cooling Towers Sdn. Bhd.,205730.91999999998
Brazil,Deere And Company,203799.0
Indonesia,Nov Process Flow Technologies As,202717.8
Thailand,Tomoe Malaysia Sdn. Bhd.,200993.95
Philippines,Hangzhou Yuhang Zhangshan Steel Cylinder Co Ltd,199807.0
Vietnam,Brothers Gas Bottling & Distribution Co. Llc,199000.0
Nigeria,Services Machinery And Trucks Maurice Ltd,198915.037
Vietnam,Lg Electronics Wroclaw,197803.08
Brazil,Deere Company,197459.0
Vietnam,Sungbo Engineering Co Ltd,197356.3374
Vietnam,Cong Ty Tnhh Cong Nghiep Liang Chi Ii,197344.36850631915
Vietnam,"Zhangjiaga Cimc Sanctum Cryogenic Equipment Co., Ltd",196141.54
Brazil,Jiaxing Kai Tian Heat Exchanger Co Ltd,194981.0
Vietnam,Air Products Singapore Industrial Gases Pte. Ltd.,194300.0
United Arab Emirates,Truwater Cooling Towers Sdn Bhd,191528.41
Vietnam,"Qingdao Ruiming Blue Sky Energy Co., Ltd.",190499.9992
India,Nihon Spindle Cooling Towers Sdn,189997.63999999998
United States,Praxair Mexico S De Rl De Cv,188932.61
Vietnam,Sun Royal Ltd.,188500.0
Nigeria,Inox India Limited,187907.74
India,Industrias Gutierrez S.A. De C.V.,186235.84
Philippines,Bj Services M Sdn Bhd,184808.05
Vietnam,Cong Ty Co. Phan Dgc,184413.8703679671
Malaysia,Amkor Technology Malaysia Sdn Bhd,183413.92
Vietnam,Aj Mechanical Engineering Shanghai Co Ltd,181873.36132
Indonesia,"Wanxiang Refrigeration (Shanghai) Co., Ltd.",181148.0
Saudi Arabia,Hamilton Sundstrand C S C,180160.29
Nigeria,Solid Makina San Ve Dis Tic Ltd Sti,179858.093
Vietnam,Cong Ty Tnhh Ky Thuat He Thong Deousi Viet Nam,179148.22067
Canada,Sin Razon Social,178800.0
Brazil,Jiangsu Yuanzhuo Equipment Manufacturing Co Ltd,178049.0
Vietnam,Guangxi Qinghai Chemical Co Ltd,177064.0
Malaysia,King Sun Industry Co Ltd,176038.22999999998
Vietnam,Guangxi Yuchai International Trade Co Ltd,176002.98
Qatar,Hamilton Sundstrand C. S. C M Sdn. Bhd.,173374.12
