dest_country,shipper,value_usd
Vietnam,Cong Ty Tnhh Kobelco Compressors Viet Nam,53065.833889999994
Vietnam,Zilmet S P A,52953.45906
India,Nantong Cimc Energy Equipment Co Ltd,52894.0
Vietnam,Dongguan Mongomery Exhibition Decoration Engineering Co. Ltd.,52797.600000000006
Vietnam,Cryotech Vietnam Joint Stock Company,51850.0
Kenya,Jinja,51274.08
Vietnam,Stavian Viet Nam Holdings Co. Ltd.,51151.9747
Vietnam,Pingxiang New Hope Foreign Trade Co Ltd,51101.03195
Vietnam,Cong Ty Co Phan Stavian Toan Cau,51031.0481
Malaysia,K R R Engineering P Ltd,50998.07
Vietnam,Cisdi Thermal Environmental Engineering Co Ltd,50404.0
Vietnam,Cong Ty Tnhh May Moc Yingyi Hai Phong Lo,50216.82652
Vietnam,Nagoya Vietnam Industry Co. Ltd.,50189.113560000005
Philippines,Hangzhou Xiangertai Import And Export,50034.0
Vietnam,Thuy Thanh Chemical Gas Import Export And Trading Company Ltd,50000.0
Vietnam,Triple Golden Foam Technology Co. Ltd.,50000.0
Vietnam,Cns Electronic Materials (Viet Nam) Company Ltd.,50000.0
Malaysia,Cryolor Asia Pacific Pvt. Ltd.,49880.04
India,Smc Corporation Of America,49690.659999999996
Vietnam,Co Asia Marine Technology Co Ltd,49500.0
Saudi Arabia,Yilteks Energy Heat Machinery Manufacturing Industry And Foreign Trade Limited Company,49350.0
Vietnam,Kunshan Rezota Co,49231.0
Vietnam,Sopet Gas One Cong Ty Trach Nhiem Huu Han,49203.460609999995
Vietnam,Lowa Tech Ltd,49000.0
Vietnam,Lowa Tech Ltd Address Room 602,49000.0
Vietnam,Gas Vietnam Co Ltd,49000.0
Ghana,Steelcon Technovision Pvt Ltd,48702.4
Nigeria,Yilteks Enerji Isi Makina Iml San Ve Dis Tic Ltd Sti,47699.465000000004
Philippines,Chart Cryogenic Engineering,47256.3
Vietnam,"Jiangsu Minsheng Heavy Industry Co., Ltd.",47254.78
Vietnam,Vt Gas - Viet Nam Liquefied Gas Company Ltd.,47204.2171
Vietnam,Cong Ty Tnhh Khi Hoa Long Viet Nam-Vt Gas,47204.2171
Saudi Arabia,Mysore Ammonia Envirotech Private Limited,47144.38
Vietnam,Zhangjiagang Cimc Sanctum Cryogenic Equipment Co Ltd,47100.0
Vietnam,Castem Siam Co Ltd,46840.0
Vietnam,Kobelco Compressors Vietnam Co Ltd,46566.931410000005
Senegal,Vrv Asia Pacific Pvt. Ltd.,46227.65
Vietnam,Vsg Gas Production-Trading Services Co. Ltd.,46200.0
Vietnam,Chongqing Yahua Auto Parts Co Ltd,45735.37
Malaysia,Nantong Cimc Energy Equipment Co,45643.94
Vietnam,Changsha Ruijin Mechanical And Electrical Equipment Co Ltd,45402.0
